Date,Tourney,Winner_name,Loser_name,Mrkt_Open_Time,W_MrkOp_odds,L_MrkOp_odds,Mrkt_Cls_Time,W_MrkCl_odds,L_MrkCl_odds,Curr_Mrkt_Time,W_Max_odds,Curr_Mrkt_Time,L_Max_odds
20170116,Australian Open,Andy Murray,Illya Marchenko,20170115 1250,1.02,70.0,20170116 0302,1.01,90.0,20170115 1250,1.02,20170116 0302,90.0
20170116,Australian Open,Andrey Rublev,Yen Hsun Lu,20170114 1547,3.7,1.37,20170116 0141,3.3,1.44,20170115 1028,4.8,20170115 2148,1.47
20170116,Australian Open,Alex De Minaur,Gerald Melzer,20170113 0756,2.3,1.77,20170116 0003,2.5,1.71,20170114 2011,2.76,20170113 0756,1.77
20170116,Australian Open,Sam Querrey,Quentin Halys,20170114 1220,1.42,3.35,20170116 0116,1.42,3.35,20170116 0053,1.47,20170114 2055,3.75
20170116,Australian Open,John Isner,Konstantin Kravchuk,20170113 0719,1.19,6.4,20170116 0230,1.11,10.0,20170113 0719,1.19,20170116 0230,10.0
20170116,Australian Open,Mischa Zverev,Guillermo Garcia Lopez,20170114 1152,1.31,4.3,20170116 0112,1.31,4.1,20170115 0250,1.38,20170114 1152,4.3
20170116,Australian Open,Malek Jaziri,Go Soeda,20170114 2356,1.69,2.44,20170116 0401,1.61,2.72,20170115 1916,1.71,20170116 0351,2.76
20170116,Australian Open,Alexander Bublik,Lucas Pouille,20170114 1527,6.8,1.18,20170116 0633,4.2,1.33,20170114 1527,6.8,20170116 0623,1.34
20170116,Australian Open,Tomas Berdych,Luca Vanni,20170115 2205,1.05,21.0,20170116 0151,1.04,25.0,20170115 2205,1.05,20170116 0151,25.0
20170116,Australian Open,Ryan Harrison,Nicolas Mahut,20170114 1323,1.8,2.28,20170116 0009,1.74,2.36,20170115 0726,1.87,20170116 0006,2.44
20170116,Australian Open,Noah Rubin,Bjorn Fratangelo,20170115 0745,2.64,1.61,20170116 0622,2.34,1.74,20170115 1723,2.84,20170116 0028,1.75
20170116,Australian Open,Roger Federer,Jurgen Melzer,20170114 1622,1.11,10.5,20170116 1037,1.05,19.5,20170114 1622,1.11,20170116 0938,21.0
20170116,Australian Open,Dudi Sela,Marcel Granollers,20170113 0748,2.06,1.95,20170116 0638,2.1,1.88,20170115 0918,2.14,20170114 2021,2.04
20170116,Australian Open,Kei Nishikori,Andrey Kuznetsov,20170114 0939,1.14,8.0,20170116 0001,1.11,10.0,20170114 1027,1.16,20170115 2323,11.0
20170116,Australian Open,Stanislas Wawrinka,Martin Klizan,20170113 0707,1.08,13.5,20170116 0807,1.06,15.5,20170115 2228,1.09,20170114 2354,21.0
20170116,Australian Open,Steve Johnson,Federico Delbonis,20170113 0731,1.25,5.0,20170116 0657,1.31,4.3,20170115 0731,1.33,20170113 0731,5.0
20170116,Australian Open,Paolo Lorenzi,James Duckworth,20170113 0723,1.94,2.08,20170116 0516,2.52,1.64,20170116 0512,2.56,20170115 0228,2.22
20170116,Australian Open,Viktor Troicki,Damir Dzumhur,20170114 1017,1.28,4.3,20170115 2357,1.24,5.1,20170115 0343,1.32,20170115 2305,5.1
20170116,Australian Open,Diego Sebastian Schwartzman,Pablo Cuevas,20170113 1431,2.2,1.83,20170116 0441,1.96,2.04,20170114 1241,2.28,20170116 0420,2.04
20170116,Australian Open,Steve Darcis,Samuel Groth,20170115 0653,1.68,2.5,20170116 0852,1.6,2.66,20170115 1005,1.71,20170116 0539,2.78
20170116,Australian Open,Andreas Seppi,Paul Henri Mathieu,20170113 1239,1.5,3.0,20170116 0434,1.4,3.4,20170113 1239,1.5,20170116 0415,3.5
20170116,Australian Open,Nick Kyrgios,Gastao Elias,20170114 0745,1.15,7.8,20170116 0750,1.09,12.5,20170114 0745,1.15,20170116 0700,13.5
20170116,Australian Open,Jo Wilfried Tsonga,Thiago Monteiro,20170113 0841,1.05,21.0,20170116 0431,1.04,26.0,20170113 1155,1.06,20170116 0113,27.0
20170116,Australian Open,Dusan Lajovic,Stephane Robert,20170113 0753,2.12,1.9,20170116 0432,2.1,1.92,20170114 2221,2.4,20170115 2156,1.94
20170116,Australian Open,Karen Khachanov,Adrian Mannarino,20170113 2346,1.82,2.2,20170116 0220,1.82,2.2,20170115 1036,1.99,20170114 2019,2.36
20170116,Australian Open,Jack Sock,Pierre Hugues Herbert,20170114 1243,1.3,4.8,20170116 0641,1.23,5.3,20170114 1243,1.3,20170115 1314,5.7
20170116,Australian Open,Bernard Tomic,Thomaz Bellucci,20170114 0707,1.47,3.1,20170116 0209,1.41,3.45,20170115 0943,1.53,20170116 0055,3.6
20170116,Australian Open,Daniel Evans,Facundo Bagnis,20170114 1719,1.34,4.0,20170116 0636,1.31,4.1,20170115 2249,1.36,20170115 0647,4.3
20170116,Australian Open,Marin Cilic,Jerzy Janowicz,20170114 1909,1.14,8.2,20170116 0252,1.14,8.0,20170114 1909,1.14,20170116 0223,8.8
20170116,Australian Open,Gael Monfils,Jiri Vesely,20170114 1946,1.33,4.1,20170117 0723,1.32,4.1,20170116 1138,1.4,20170117 0704,4.4
20170116,Australian Open,Alexandr Dolgopolov,Borna Coric,20170115 0743,1.88,2.14,20170117 0510,1.98,2.04,20170116 2245,2.08,20170116 0935,2.22
20170116,Australian Open,Donald Young,Thomas Fabbiano,20170116 0421,1.65,2.54,20170117 0006,1.49,3.0,20170116 1159,1.68,20170116 2357,3.15
20170116,Australian Open,Philipp Kohlschreiber,Nikoloz Basilashvili,20170115 2134,1.29,4.5,20170117 0001,1.26,4.7,20170116 0647,1.31,20170116 1206,4.8
20170116,Australian Open,Alexander Zverev,Robin Haase,20170113 0705,1.25,5.1,20170117 0009,1.13,8.6,20170113 0705,1.25,20170116 2358,9.4
20170116,Australian Open,Francis Tiafoe,Mikhail Kukushkin,20170114 1440,1.55,2.8,20170117 0129,1.58,2.74,20170116 0938,1.73,20170114 1440,2.8
20170116,Australian Open,Marcos Baghdatis,Mikhail Youzhny,20170115 0744,1.55,2.84,20170117 0400,1.64,2.52,20170116 1005,1.71,20170115 0744,2.84
20170116,Australian Open,Rafael Nadal,Florian Mayer,20170116 2106,1.07,14.0,20170117 0314,1.06,17.5,20170116 2106,1.07,20170117 0313,18.0
20170116,Australian Open,Roberto Bautista Agut,Guido Pella,20170113 1142,1.12,9.6,20170117 0415,1.11,9.4,20170116 2228,1.14,20170114 1054,12.5
20170116,Australian Open,Yoshihito Nishioka,Alex Bolt,20170115 0755,1.56,2.8,20170117 0118,1.59,2.64,20170116 2145,1.62,20170115 2153,3.05
20170116,Australian Open,Ernesto Escobedo,Daniil Medvedev,20170115 0641,3.05,1.49,20170117 0610,2.92,1.52,20170116 1212,3.25,20170116 0513,1.54
20170116,Australian Open,David Ferrer,Omar Jasika,20170113 1311,1.21,5.9,20170117 0705,1.19,6.4,20170116 1608,1.23,20170116 1014,7.8
20170116,Australian Open,Gilles Simon,Michael Mmoh,20170113 1320,1.28,4.6,20170117 0001,1.21,6.0,20170113 1320,1.28,20170116 2139,6.4
20170116,Australian Open,Rogerio Dutra Silva,Jared Donaldson,20170114 1009,4.4,1.27,20170116 2354,4.7,1.28,20170116 1217,4.8,20170116 1524,1.33
20170116,Australian Open,Gilles Muller,Taylor Harry Fritz,20170114 1046,1.4,3.5,20170117 0420,1.37,3.6,20170116 2227,1.49,20170116 1954,3.6
20170116,Australian Open,Milos Raonic,Dustin Brown,20170114 1108,1.07,15.0,20170117 0201,1.06,18.0,20170115 2338,1.08,20170116 2146,18.0
20170116,Australian Open,Dominic Thiem,Jan Lennard Struff,20170115 0518,1.37,3.75,20170117 0404,1.38,3.65,20170116 0819,1.42,20170116 2143,4.3
20170116,Australian Open,Jordan Thompson,Joao Sousa,20170115 0749,2.4,1.72,20170117 0520,2.7,1.59,20170117 0518,2.78,20170116 1427,1.74
20170116,Australian Open,Benoit Paire,Tommy Haas,20170114 1019,1.27,4.3,20170117 0721,1.26,4.9,20170116 0632,1.31,20170116 2015,5.2
20170116,Australian Open,Fabio Fognini,Feliciano Lopez,20170114 2236,2.1,1.9,20170117 0727,2.32,1.75,20170117 0727,2.36,20170116 0601,2.04
20170116,Australian Open,Ivo Karlovic,Horacio Zeballos,20170113 0916,1.35,3.9,20170117 0544,1.34,3.95,20170116 1136,1.44,20170117 0329,4.2
20170116,Australian Open,Andrew Whittington,Adam Pavlasek,20170115 0751,3.05,1.49,20170117 0350,3.15,1.45,20170116 1133,3.2,20170116 2218,1.58
20170116,Australian Open,Radek Stepanek,Dmitry Tursunov,20170115 1448,1.24,5.1,20170117 0432,1.15,7.2,20170115 1448,1.24,20170117 0259,7.2
20170116,Australian Open,David Goffin,Reilly Opelka,20170115 0647,1.21,5.8,20170117 0106,1.17,7.0,20170115 2234,1.24,20170116 2301,7.4
20170116,Australian Open,Grigor Dimitrov,Christopher Oconnell,20170115 1250,1.04,26.0,20170117 0759,1.04,30.0,20170116 1128,1.06,20170117 0759,30.0
20170116,Australian Open,Hyeon Chung,Renzo Olivo,20170113 1347,1.32,4.2,20170117 0657,1.24,5.1,20170113 1347,1.32,20170117 0434,5.2
20170116,Australian Open,Carlos Berlocq,Radu Albot,20170114 1921,2.18,1.84,20170117 0120,1.97,2.02,20170116 0943,2.26,20170116 2131,2.06
